#
#   Electronic bound-bound excitation rates by heavy particle impact
#
################################################################################################################################################
Species:    N 
# Ref:      Lu et al. (2023) - Quantum and semiclassical studies of nonadiabatic electronic transitions between N(4S) and N(2D) by collisions with N2
Form:       3
################################################################################################################################################
1   2   N2  1.8833e-09  -0.7083 27664.0
END N
################################################################################################################################################
Species:    N 
# Ref:      Schatz group at Northwestern via full quantum calculations
Form:       3
################################################################################################################################################
1   2   N  6.44e-13   0.0     28800.0
2   3   N  5.39e-19   1.5939  10994.0
END N
################################################################################################################################################
Species:    N 
# Ref:      Adamovich and Rich (2024) semiclassical theory
Form:       3
################################################################################################################################################
3   4   N  7.14e-11     0.1193    84430.0
1   2   O  2.77e-11     0.0471    33081.0
2   3   O  3.87e-11     0.0598    15473.0
END N
################################################################################################################################################
Species:	N2
# Ref:      Lemal et al. (2016) recommended fitting expression using logarithmic cross section
Form: 		3
################################################################################################################################################
1   3   N   3.6885e-16  0.2979  8.6655e+04
1   3   O2  2.9164e-16  0.2979  8.6655e+04
1   3   O   3.5321e-16  0.2979  8.6655e+04
1   3   NO  2.9612e-16  0.2979  8.6655e+04
1   4   *   3.9856e-16  0.2909  8.7046e+04
1   5   *   4.2176e-16  0.2881  9.6561e+04
1   6   *   2.2708e-16  0.3452  9.8338e+04
1   7   *   3.4429e-16  0.3076  1.0063e+05
1   8   *   2.1335e-16  0.3521  1.0397e+05
1   9   *   1.6899e-16  0.3774  1.2831e+05
2   4   *   3.1180e-15  0.0388  1.5362e+04
2   5   *   1.8057e-15  0.1111  2.4583e+04
2   6   *   1.5912e-15  0.1271  2.7260e+04
2   7   *   1.4825e-15  0.1359  2.8870e+04
2   8   *   1.2615e-15  0.1558  3.2877e+04
2   9   *   6.3533e-16  0.2372  5.7172e+04
3   4   *   7.4986e-15 -0.2879  9.8231e+02
3   5   *   4.3557e-15 -0.0096  1.1124e+04
3   6   *   3.4922e-15  0.0229  1.3828e+04
3   7   *   3.0992e-15  0.0397  1.5447e+04
3   8   *   2.3848e-15  0.0751  1.9466e+04
3   9   *   8.8345e-16  0.1986  4.3740e+04
4   5   *   4.4612e-15 -0.0132  1.0851e+04
4   6   *   3.5658e-15  0.0199  1.3558e+04
4   7   *   3.1596e-15  0.0370  1.5177e+04
4   8   *   2.4237e-15  0.0730  1.9197e+04
4   9   *   8.9026e-16  0.1977  4.3471e+04
5   6   *   8.8967e-15 -0.1465  4.0421e+03
5   7   *   7.3904e-15 -0.1012  5.7815e+03
5   8   *   4.8506e-15 -0.0263  9.9257e+03
5   9   *   1.1984e-15  0.1620  3.4260e+04
6   7   *   9.8457e-15 -0.1881  2.8200e+03
6   8   *   6.3652e-15 -0.0721  7.1752e+03
6   9   *   1.3263e-15  0.1496  3.1582e+04
7   8   *   7.6332e-15 -0.1081  5.4845e+03
7   9   *   1.4153e-15  0.1416  2.9972e+04
8   9   *   1.6891e-15  0.1196  2.5965e+04
END N2
################################################################################################################################################
Species:	N2
# Ref: 	    Park, C. (2008) - Rate Parameters for Electronic Excitation of Diatomic Molecules 2. Heavy-Particle Processes
#           N2(X -> A) + N rate is excluded in favor of Flagan and Appleton (1972) quenching rate
Form: 		2
################################################################################################################################################
# Scaled down by 1/4 based on branching ratio from Piper (reported in Herron (1999)) that says N2(A) + O goes to N2(X) + O(1S) 75% of the time
1   2   O   1.50e-10    0.507   72737.
1   2   N2  1.29E-15    0.507   72737.
# Using the rate from Lemal et al. (the default) since the N2(A) + O2 channel goes to 2O + N2(X) with nearly unit efficiency (Herron (1999))
1   2   O2  1.95e-16    0.336   73346.
# Neglecting the excitation of N2(A) by NO because the quenching rates used by Park are more appropriately used for the exchange between N2(A) and NO(A)
1   2   NO  0.00E-09    0.507   72737.
2   3   N   5.10E-09    0.016   19253.
2   3   O   4.74E-09    0.032   19054.
# Cruden and Brandis (2017) rate is used in place of this one
2   3   N2  1.64E-08    -0.777  28892.
2   3   O2  1.17E-08    -0.601  26760.
2   3   NO  2.15E-09    0.388   14722.
END N2
################################################################################################################################################
Species:	N2+
# Ref: 	    Park, C. (2008) - Rate Parameters for Electronic Excitation of Diatomic Molecules 2. Heavy-Particle Processes
Form: 		2
#           Park (2008) values are divided by 4 to shift the 1->3 rates to be consistent with the lower end of the measured quenching values
#           N2+(X -> B) + N2 rate is excluded in favor of Flagan and Appleton (1972) quenching rate
################################################################################################################################################
1   2   N   7.26E-09    -0.042  17131.
1   2   O   7.19E-09    -0.071  17330.
1   2   N2  6.97E-09    -0.176  18063.
1   2   O2  5.95E-09    -0.071  17335.
1   2   NO  6.94E-09    -0.187  18140.
# 1   3   N   2.59E-09    -0.106  40703.
1   3   N   6.4750e-10  -0.135  40703.
# 1   3   O   2.57E-09    -0.135  40902.
1   3   O   6.4250e-10  -0.135  40902.
# 1   3   O2  2.47E-09    -0.261  41782.
1   3   O2  6.1750e-10  -0.261  41782.
# 1   3   NO  2.48E-09    -0.251  41711.
1   3   NO  6.2000e-10  -0.251  41711.
2   4   N   9.23E-09    -0.038  65517.
2   4   O   9.15E-09    -0.067  65716.
2   4   N2  8.86E-09    -0.173  66449.
